team,team_against,week,matchup_type,points_for,points_against,league_id
The Dark Knighton,A Game of Throws,1,REGULAR_SEASON,103,90,128504
A Game of Throws,The Dark Knighton,1,REGULAR_SEASON,90,103,128504
SB's Finest,EveryDayImRussellin,1,REGULAR_SEASON,79,56,128504
EveryDayImRussellin,SB's Finest,1,REGULAR_SEASON,56,79,128504
Jets,Los Pollos Hermanos,1,REGULAR_SEASON,82,100,128504
Los Pollos Hermanos,Jets,1,REGULAR_SEASON,100,82,128504
Martyr.,Bengal Ball,1,REGULAR_SEASON,87,78,128504
Bengal Ball,Martyr.,1,REGULAR_SEASON,78,87,128504
Akili Smith's Career,Domination,1,REGULAR_SEASON,79,93,128504
Domination,Akili Smith's Career,1,REGULAR_SEASON,93,79,128504
JayCutlersGayButlers,Con 2,1,REGULAR_SEASON,90,70,128504
Con 2,JayCutlersGayButlers,1,REGULAR_SEASON,70,90,128504
The Dark Knighton,SB's Finest,2,REGULAR_SEASON,79,119,128504
SB's Finest,The Dark Knighton,2,REGULAR_SEASON,119,79,128504
A Game of Throws,Con 2,2,REGULAR_SEASON,54,60,128504
Con 2,A Game of Throws,2,REGULAR_SEASON,60,54,128504
Jets,EveryDayImRussellin,2,REGULAR_SEASON,94,78,128504
EveryDayImRussellin,Jets,2,REGULAR_SEASON,78,94,128504
Martyr.,Los Pollos Hermanos,2,REGULAR_SEASON,81,102,128504
Los Pollos Hermanos,Martyr.,2,REGULAR_SEASON,102,81,128504
Akili Smith's Career,Bengal Ball,2,REGULAR_SEASON,42,89,128504
Bengal Ball,Akili Smith's Career,2,REGULAR_SEASON,89,42,128504
JayCutlersGayButlers,Domination,2,REGULAR_SEASON,69,89,128504
Domination,JayCutlersGayButlers,2,REGULAR_SEASON,89,69,128504
The Dark Knighton,Jets,3,REGULAR_SEASON,54,86,128504
Jets,The Dark Knighton,3,REGULAR_SEASON,86,54,128504
A Game of Throws,SB's Finest,3,REGULAR_SEASON,91,90,128504
SB's Finest,A Game of Throws,3,REGULAR_SEASON,90,91,128504
Martyr.,EveryDayImRussellin,3,REGULAR_SEASON,89,61,128504
EveryDayImRussellin,Martyr.,3,REGULAR_SEASON,61,89,128504
Akili Smith's Career,Los Pollos Hermanos,3,REGULAR_SEASON,79,77,128504
Los Pollos Hermanos,Akili Smith's Career,3,REGULAR_SEASON,77,79,128504
JayCutlersGayButlers,Bengal Ball,3,REGULAR_SEASON,114,69,128504
Bengal Ball,JayCutlersGayButlers,3,REGULAR_SEASON,69,114,128504
Domination,Con 2,3,REGULAR_SEASON,102,86,128504
Con 2,Domination,3,REGULAR_SEASON,86,102,128504
The Dark Knighton,Martyr.,4,REGULAR_SEASON,115,111,128504
Martyr.,The Dark Knighton,4,REGULAR_SEASON,111,115,128504
A Game of Throws,Jets,4,REGULAR_SEASON,60,83.2,128504
Jets,A Game of Throws,4,REGULAR_SEASON,83.2,60,128504
SB's Finest,Con 2,4,REGULAR_SEASON,109,102,128504
Con 2,SB's Finest,4,REGULAR_SEASON,102,109,128504
Akili Smith's Career,EveryDayImRussellin,4,REGULAR_SEASON,103,56,128504
EveryDayImRussellin,Akili Smith's Career,4,REGULAR_SEASON,56,103,128504
JayCutlersGayButlers,Los Pollos Hermanos,4,REGULAR_SEASON,77,96,128504
Los Pollos Hermanos,JayCutlersGayButlers,4,REGULAR_SEASON,96,77,128504
Domination,Bengal Ball,4,REGULAR_SEASON,84,106,128504
Bengal Ball,Domination,4,REGULAR_SEASON,106,84,128504
The Dark Knighton,Akili Smith's Career,5,REGULAR_SEASON,84,91,128504
Akili Smith's Career,The Dark Knighton,5,REGULAR_SEASON,91,84,128504
A Game of Throws,Martyr.,5,REGULAR_SEASON,93,106,128504
Martyr.,A Game of Throws,5,REGULAR_SEASON,106,93,128504
SB's Finest,Jets,5,REGULAR_SEASON,70,75,128504
Jets,SB's Finest,5,REGULAR_SEASON,75,70,128504
JayCutlersGayButlers,EveryDayImRussellin,5,REGULAR_SEASON,64,49,128504
EveryDayImRussellin,JayCutlersGayButlers,5,REGULAR_SEASON,49,64,128504
Domination,Los Pollos Hermanos,5,REGULAR_SEASON,85,77,128504
Los Pollos Hermanos,Domination,5,REGULAR_SEASON,77,85,128504
Bengal Ball,Con 2,5,REGULAR_SEASON,106,89,128504
